"Source:","/home/joerg/repos/OpenBLDC/joewa/ChibiESC/hardware/design/DrChibi.sch"
"Date:","Mo 24 Okt 2016 14:15:12 CEST"
"Tool:","Eeschema no-vcs-found-undefined"
"Generator:","/home/joerg/kicad/bom-in-python/bom_csv_grouped_by_value.py"
"Component Count:","183"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","Comment","Manufacturer","Part Number"
"","","C1","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","C2","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","C3","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","C4","2.2u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","C5","100n","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","CDrGate1","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrGate2","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrGate3","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrGate4","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrGate5","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrGate6","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","X7R, >10V","",""
"","","CDrHV1","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV2","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV3","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV4","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV5","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV6","10u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHVX1","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHVX2","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHVX3","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHVX4","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHVX5","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHVX6","C","device:C","Capacitors_SMD:C_1206","","","",""
"","","CDrHV1back1","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV1back2","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV1back3","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV1back4","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV1back5","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV1back6","4.7u,35V","device:C","Capacitors_SMD:C_1206","","dc link, X7R, >35V","",""
"","","CDrHV2back1","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHV2back2","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHV2back3","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHV2back4","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHV2back5","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHV2back6","10u,35V","device:C","Capacitors_SMD:C_1206_HandSoldering","","dc link, X5R, >35V","",""
"","","CDrHVs1","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrHVs2","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrHVs3","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrHVs4","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrHVs5","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrHVs6","0.47u,35V","device:C","Capacitors_SMD:C_0603","","dc link, X7R, >35V","",""
"","","CDrLogic1","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CDrLogic2","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CDrLogic3","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CDrLogic4","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CDrLogic5","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CDrLogic6","2.2uF","device:C","Capacitors_SMD:C_0603","","X7R, >10V","Kemet","C0603C225K8RACTU"
"","","CHFAC1","10n,35V","device:C","Capacitors_SMD:C_0603_HandSoldering","","Use COG or NPO ceramic. Or poly- propylene or carbonate","",""
"","","CONN2","CONN_01X05","conn:CONN_01X05","Pads:Pin_Header_Straight_1x05_Pitch1.27mm","","","",""
"","","Cbattfilt1","0.47u","BLDC_4-rescue:C-RESCUE-BLDC_4","Capacitors_SMD:C_0603","","","",""
"","","Cboot1","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Cboot2","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Cboot3","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Cboot4","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Cboot5","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
"","","Cboot6","0.47uF","device:C","Capacitors_SMD:C_0603_HandSoldering","","","",""
